reference,leader,word,trailer,lemma,part_of_speech
2.8,,ἢ,,ἤ,CCONJ
2.8,,τοῦτο,,οὗτος,PRON
2.8,,ἐνετειλάμην,,ἐντέλλω,VERB
2.8,,αὐτοῖς,·,αὐτός,PRON
2.8,,ἕκαστος,,ἕκαστος,ADJ
2.8,,ὑμῶν,,σύ,PRON
2.8,,κατὰ,,κατά,ADP
2.8,,τοῦ,,ὁ,DET
2.8,,πλησίον,,πλησίον,ADV
2.8,,ἐν,,ἐν,ADP
2.8,,τῇ,,ὁ,DET
2.8,,καρδίᾳ,,καρδία,NOUN
2.8,,ἑαυτοῦ,,ἑαυτοῦ,PRON
2.8,,κακίαν,,κακία,NOUN
2.8,,μὴ,,μή,ADV
2.8,,μνησικακείτω,",",μνησικακέω,VERB
2.8,,καὶ,,καί,CCONJ
2.8,,ὅρκον,,ὅρκος,NOUN
2.8,,ψευδῆ,,ψευδής,ADJ
2.8,,μὴ,,μή,ADV
2.8,,ἀγαπᾶτε,.,ἀγαπάω,VERB
2.9,,αἰσθάνεσθαι,,αἰσθάνομαι,VERB
2.9,,οὖν,,οὖν,ADV
2.9,,ὀφείλομεν,",",ὀφείλω,VERB
2.9,,μὴ,,μή,CCONJ
2.9,,ὄντες,,εἰμί,AUX
2.9,,ἀσύνετοι,",",ἀσύνετος,ADJ
2.9,,τὴν,,ὁ,DET
2.9,,γνώμην,,γνώμη,NOUN
2.9,,τῆς,,ὁ,DET
2.9,,ἀγαθωσύνης,,ἀγαθωσύνη,NOUN
2.9,,τοῦ,,ὁ,DET
2.9,,πατρὸς,,πατήρ,NOUN
2.9,,ἡμῶν,",",ἐγώ,PRON
2.9,,ὅτ,’,ὅτ,SCONJ
2.9,,ἡμῖν,,ἐγώ,PRON
2.9,,λέγει,",",λέγω,VERB
2.9,,θέλων,,ἐθέλω,VERB
2.9,,ἡμᾶς,,ἐγώ,PRON
2.9,,μὴ,,μή,ADV
2.9,,ὁμοίως,,ὁμοίως,ADV
2.9,,πλανωμένους,,πλανάω,VERB
2.9,,ἐκείνοις,,ἐκεῖνος,ADJ
2.9,,ζητεῖν,",",ζητέω,VERB
2.9,,πῶς,,πῶς,ADV
2.9,,προσάγωμεν,,προσάγω,VERB
2.9,,αὐτῷ,.,αὐτός,PRON
2.10,,ἡμῖν,,ἐγώ,PRON
2.10,,οὖν,,οὖν,ADV
2.10,,οὕτως,,οὕτως,ADV
2.10,,λέγει,·,λέγω,VERB
2.10,,Θυσία,,θυσία,NOUN
2.10,,τῷ,,ὁ,DET
2.10,,κυρίῳ,,κύριος,NOUN
2.10,,καρδία,,καρδία,NOUN
2.10,,συντετριμμένη,",",συντρίβω,VERB
2.10,,ὀσμὴ,,ὀσμή,NOUN
2.10,,εὐωδίας,,εὐωδία,NOUN
2.10,,τῷ,,ὁ,DET
2.10,,κυρίῳ,,κύριος,NOUN
2.10,,καρδία,,καρδία,NOUN
2.10,,δοξάζουσα,,δοξάζω,VERB
2.10,,τὸν,,ὁ,DET
2.10,,πεπλακότα,,πλάσσω,VERB
2.10,,αὐτήν,.,αὐτός,ADJ
2.10,,ἀκριβεύεσθαι,,ἀκριβεύω,VERB
2.10,,οὖν,,οὖν,ADV
2.10,,ὀφείλομεν,",",ὀφείλω,VERB
2.10,,ἀδελφοί,",",ἀδελφός,NOUN
2.10,,περὶ,,περί,ADP
2.10,,τῆς,,ὁ,DET
2.10,,σωτηρίας,,σωτηρία,NOUN
2.10,,ἡμῶν,",",ἐγώ,PRON
2.10,,ἵνα,,ἵνα,SCONJ
2.10,,μὴ,,μή,ADV
2.10,,ὁ,,ὁ,DET
2.10,,πονηρὸς,,πονηρός,ADJ
2.10,,παρείσδυσιν,,παρείσδυσις,VERB
2.10,,πλάνης,,πλάνη,NOUN
2.10,,ποιήσας,,ποιέω,VERB
2.10,,ἐν,,ἐν,ADP
2.10,,ἡμῖν,,ἐγώ,PRON
2.10,,ἐκσφενδονήσῃ,,ἐκσφενδονάω,VERB
2.10,,ἡμᾶς,,ἐγώ,PRON
2.10,,ἀπὸ,,ἀπό,ADP
2.10,,τῆς,,ὁ,DET
2.10,,ζωῆς,,ζωή,NOUN
2.10,,ἡμῶν,.,ἐγώ,PRON
3.1,,Λέγει,,λέγω,VERB
3.1,,οὖν,,οὖν,ADV
3.1,,πάλιν,,πάλιν,ADV
3.1,,περὶ,,περί,ADP
3.1,,τούτων,,οὗτος,PRON
3.1,,πρὸς,,πρός,ADP
3.1,,αὐτούς,·,αὐτός,PRON
3.1,,Ἱνατί,,ἱνατί,ADV
3.1,,μοι,,ἐγώ,PRON
3.1,,νηστεύετε,",",νηστεύω,VERB
3.1,,λέγει,,λέγω,VERB
3.1,,κύριος,",",κύριος,NOUN
3.1,,ὡς,,ὡς,ADV
3.1,,σήμερον,,σήμερον,ADV
3.1,,ἀκουσθῆναι,,ἀκούω,VERB
3.1,,ἐν,,ἐν,ADP
3.1,,κραυγῇ,,κραυγή,NOUN
3.1,,τὴν,,ὁ,DET
3.1,,φωνὴν,,φωνή,NOUN
3.1,,ὑμῶν,;,σύ,PRON
3.1,,οὐ,,οὐ,ADV
3.1,,ταύτην,,οὗτος,ADJ
3.1,,τὴν,,ὁ,DET
3.1,,νηστείαν,,νηστεία,NOUN
3.1,,ἐγὼ,,ἐγώ,PRON
3.1,,ἐξελεξάμην,",",ἐκλέγω,VERB
3.1,,λέγει,,λέγω,VERB
3.1,,κύριος,",",κύριος,NOUN
3.1,,οὐκ,,οὐ,ADV
3.1,,ἄνθρωπον,,ἄνθρωπος,NOUN
3.1,,ταπεινοῦντα,,ταπεινόω,VERB
3.1,,τὴν,,ὁ,DET
3.1,,ψυχὴν,,ψυχή,NOUN
3.1,,αὐτοῦ,",",αὐτός,PRON
3.2,,οὐδ,’,οὐδ,ADV
3.2,,ἂν,,ἄν,ADV
3.2,,κάμψητε,,κάμπτω,VERB
3.2,,ὡς,,ὡς,ADV
3.2,,κρίκον,,κρίκος,NOUN
3.2,,τὸν,,ὁ,DET
3.2,,τράχηλον,,τράχηλος,NOUN
3.2,,ὑμῶν,,σύ,PRON
3.2,,καὶ,,καί,CCONJ
3.2,,σάκκον,,σάκκος,NOUN
3.2,,ἐνδύσησθε,,ἐνδύω,VERB
3.2,,καὶ,,καί,CCONJ
3.2,,σποδὸν,,σποδός,NOUN
3.2,,ὑποστρώσητε,",",ὑπό-στόρεννυμι,VERB
3.2,,οὐδ,’,οὐδ,ADV
3.2,,οὕτως,,οὕτως,ADV
3.2,,καλέσετε,,καλέω,VERB
3.2,,νηστείαν,,νηστεία,NOUN
3.2,,δεκτήν,.,δεκτός,ADJ
3.3,,πρὸς,,πρός,ADP
3.3,,ἡμᾶς,,ἐγώ,PRON
3.3,,δὲ,,δέ,ADV
3.3,,λέγει,·,λέγω,VERB
3.3,,Ἰδοὺ,,ἰδού,INTJ
3.3,,αὕτη,,οὗτος,ADJ
3.3,,ἡ,,ὁ,DET
3.3,,νηστεία,",",νηστεία,NOUN
3.3,,ἣν,,ὅς,PRON
3.3,,ἐγὼ,,ἐγώ,PRON
3.3,,ἐξελεξάμην,",",ἐκλέγω,VERB
3.3,,λέγει,,λέγω,VERB
3.3,,κύριος,·,κύριος,NOUN
3.3,,λύε,,λύω,VERB
3.3,,πάντα,,πᾶς,ADJ
3.3,,σύνδεσμον,,σύνδεσμος,NOUN
3.3,,ἀδικίας,",",ἀδικία,NOUN
3.3,,διάλυε,,διαλύω,VERB
3.3,,στραγγαλιὰς,,στραγγαλιά,NOUN
3.3,,βιαίων,,βίαιος,ADJ
3.3,,συναλλαγμάτων,",",συνάλλαγμα,NOUN
3.3,,ἀπόστελλε,,ἀποστέλλω,VERB
3.3,,τεθραυσμένους,,θραύω,VERB
3.3,,ἐν,,ἐν,ADP
3.3,,ἀφέσει,,ἄφεσις,NOUN
3.3,,καὶ,,καί,CCONJ
3.3,,πᾶσαν,,πᾶς,ADJ
3.3,,ἄδικον,,ἄδικος,ADJ
3.3,,συγγραφὴν,,συγγραφή,NOUN
3.3,,διάσπα,.,διασπάω,VERB
3.3,,διάθρυπτε,,διαθρύπτω,VERB
3.3,,πεινῶσιν,,πεινάω,NOUN
3.3,,τὸν,,ὁ,DET
3.3,,ἄρτον,,ἄρτος,NOUN
3.3,,σου,",",σύ,PRON
3.3,,καὶ,,καί,CCONJ
3.3,,γυμνὸν,,γυμνός,ADJ
3.3,,ἐὰν,,ἐάν,SCONJ
3.3,,ἴδῃς,,εἶδον,VERB
3.3,,περίβαλε,·,περιβάλλω,VERB
3.3,,ἀστέγους,,ἄστεγος,ADJ
3.3,,εἴσαγε,,εἰσάγω,VERB
3.3,,εἰς,,εἰς,ADP
3.3,,τὸν,,ὁ,DET
3.3,,οἶκον,,οἶκος,NOUN
