,reference,token,lemma
361,2.8,πλάτη,
362,2.8,τῆς,ὁ
363,2.8,καρδίας,
364,2.8,ὑμῶν,
365,2.8,ἐγέγραπτο,γράφω
366,2.8,Πᾶσα,πᾶς
367,2.8,δόξα,
368,2.8,καὶ,καί
369,2.8,πλατυσμὸς,πλατυσμός
370,3.1,ἐδόθη,δίδωμι
371,3.1,ὑμῖν,σύ
372,3.1,καὶ,καί
373,3.1,ἐπετελέσθη,ἐπιτελέω
374,3.1,τὸ,ὁ
375,3.1,γεγραμμένον,γράφω
376,3.1,Ἔφαγεν,ἐσθίω
377,3.1,καὶ,καί
378,3.1,ἔπιεν,
379,3.1,καὶ,καί
380,3.1,ἐπλατύνθη,πλατύνω
381,3.1,καὶ,καί
382,3.1,ἐπαχύνθη,παχύνω
383,3.1,καὶ,καί
384,3.1,ἀπελάκτισεν,ἀπολακτίζω
385,3.1,ὁ,ὁ
386,3.1,ἠγαπημένος,ἀγαπάω
387,3.1,ἐκ,ἐκ
388,3.1,τούτου,οὗτος
389,3.1,ζῆλος,ζῆλος
390,3.2,καὶ,καί
391,3.2,φθόνος,φθόνος
392,3.2,καὶ,καί
393,3.2,ἔρις,ἔρις
394,3.2,καὶ,καί
395,3.2,στάσις,στάσις
396,3.2,διωγμὸς,διωγμός
397,3.2,καὶ,καί
398,3.2,ἀκαταστασία,ἀκαταστασία
399,3.2,πόλεμος,πόλεμος
400,3.2,καὶ,καί
401,3.2,αἰχμαλωσία,αἰχμαλωσία
402,3.2,οὕτως,οὕτως
403,3.2,ἐπηγέρθησαν,
404,3.3,οἱ,
405,3.3,ἄτιμοι,ἄτιμος
406,3.3,ἐπὶ,ἐπί
407,3.3,τοὺς,ὁ
408,3.3,ἐντίμους,ἔντιμος
409,3.3,οἱ,
410,3.3,ἄδοξοι,ἄδοξος
411,3.3,ἐπὶ,ἐπί
412,3.3,τοὺς,ὁ
413,3.3,ἐνδόξους,ἔνδοξος
414,3.3,οἱ,
415,3.3,ἄφρονες,ἄφρων
416,3.3,ἐπὶ,ἐπί
417,3.3,τοὺς,ὁ
418,3.3,φρονίμους,φρόνιμος
419,3.3,οἱ,
420,3.3,νέοι,
421,3.3,ἐπὶ,ἐπί
422,3.3,τοὺς,ὁ
423,3.3,πρεσβυτέρους,πρέσβυς
424,3.3,διὰ,διά
425,3.3,τοῦτο,οὗτος
426,3.3,πόρρω,πρόσω
427,3.3,ἄπεστιν,ἄπειμι1
428,3.4,ἡ,ὁ
429,3.4,δικαιοσύνη,δικαιοσύνη
430,3.4,καὶ,καί
431,3.4,εἰρήνη,
432,3.4,ἐν,
433,3.4,τῷ,
434,3.4,ἀπολιπεῖν,ἀπολιμπάνω
435,3.4,ἕκαστον,ἕκαστος
436,3.4,τὸν,ὁ
437,3.4,φόβον,φόβος
438,3.4,τοῦ,
439,3.4,θεοῦ,
440,3.4,καὶ,καί
441,3.4,ἐν,
442,3.4,τῇ,
443,3.4,πίστει,πίστις
444,3.4,αὐτοῦ,
445,3.4,ἀμβλυωπῆσαι,ἀμβλυωπέω
446,3.4,μηδὲ,μηδέ
447,3.4,ἐν,
448,3.4,τοῖς,ὁ
449,3.4,νομίμοις,νόμιμος
450,3.4,τῶν,ὁ
451,3.4,προσταγμάτων,πρόσταγμα
452,3.4,αὐτοῦ,
453,3.4,πορεύεσθαι,πορεύω
454,3.4,μηδὲ,μηδέ
455,3.4,πολιτεύεσθαι,πολιτεύω
456,3.4,κατὰ,κατά
457,3.4,τὸ,ὁ
458,3.4,καθῆκον,καθήκω
459,3.4,τῷ,
460,3.4,Χριστῷ,χριστός
461,3.4,ἀλλὰ,ἀλλά
462,3.4,ἕκαστον,ἕκαστος
463,3.4,βαδίζειν,βαδίζω
464,3.4,κατὰ,κατά
465,3.4,τὰς,ὁ
466,3.4,ἐπιθυμίας,
467,3.4,τῆς,ὁ
468,3.4,καρδίας,
469,3.4,αὐτοῦ,
470,3.4,τῆς,ὁ
471,3.4,πονηρᾶς,πονηρός
472,3.4,ζῆλον,ζῆλος
473,3.4,ἄδικον,ἄδικος
474,3.4,καὶ,καί
475,3.4,ἀσεβῆ,ἀσεβής
476,3.4,ἀνειληφότας,ἀναλαμβάνω
477,3.4,δι’,
478,3.4,οὗ,
479,3.4,καὶ,καί
480,3.4,θάνατος,θάνατος
481,3.4,εἰσῆλθεν,εἰσέρχομαι
482,3.4,εἰς,εἰς
483,3.4,τὸν,ὁ
484,3.4,κόσμον,κόσμος
485,3.4,Γέγραπται,γράφω
486,3.4,γὰρ,γάρ
487,3.4,οὕτως,οὕτως
488,4.1,Καὶ,καί
489,4.1,ἐγένετο,γίγνομαι
490,4.1,μεθ’,
491,4.1,ἡμέρας,
492,4.1,ἤνεγκεν,φέρω
493,4.1,Κάϊν,
494,4.1,ἀπὸ,ἀπό
495,4.1,τῶν,ὁ
496,4.1,καρπῶν,
497,4.1,τῆς,ὁ
498,4.1,γῆς,
499,4.1,θυσίαν,θυσία
500,4.1,τῷ,
501,4.1,θεῷ,
502,4.1,καὶ,καί
503,4.1,Ἄβελ,
504,4.1,ἤνεγκεν,φέρω
505,4.1,καὶ,καί
506,4.1,αὐτὸς,αὐτός
507,4.1,ἀπὸ,ἀπό
508,4.1,τῶν,ὁ
509,4.1,πρωτοτόκων,
510,4.1,τῶν,ὁ
511,4.1,προβάτων,
512,4.1,καὶ,καί
513,4.1,ἀπὸ,ἀπό
514,4.1,τῶν,ὁ
515,4.1,στεάτων,στέαρ
516,4.1,αὐτῶν,αὐτός
517,4.1,καὶ,καί
518,4.1,ἐπεῖδεν,ἐπεῖδον
519,4.1,ὁ,ὁ
520,4.1,θεὸς,θεός
521,4.1,ἐπὶ,ἐπί
522,4.2,Ἄβελ,
523,4.2,καὶ,καί
524,4.2,ἐπὶ,ἐπί
525,4.2,τοῖς,ὁ
526,4.2,δώροις,δῶρον
527,4.2,αὐτοῦ,
528,4.2,ἐπὶ,ἐπί
529,4.2,δὲ,δέ
530,4.2,Κάϊν,
531,4.2,καὶ,καί
532,4.2,ἐπὶ,ἐπί
533,4.2,ταῖς,ὁ
534,4.2,θυσίαις,θυσία
535,4.2,αὐτοῦ,
536,4.2,οὐ,οὐ
537,4.2,προσέσχεν,προσέχω
538,4.2,καὶ,καί
539,4.2,ἐλυπήθη,λυπέω
540,4.2,Κάϊν,
541,4.2,λίαν,λίαν
542,4.3,καὶ,καί
543,4.3,συνέπεσεν,συμπίτνω
544,4.3,τῷ,
545,4.3,προσώπῳ,πρόσωπον
546,4.3,αὐτοῦ,
547,4.3,καὶ,καί
548,4.3,εἶπεν,εἶπον
549,4.3,ὁ,ὁ
550,4.3,θεὸς,θεός
551,4.3,πρὸς,πρός
552,4.3,Κάϊν,
553,4.4,Ἱνατί,
554,4.4,περίλυπος,περίλυπος
555,4.4,ἐγένου,γίγνομαι
556,4.4,καὶ,καί
557,4.4,ἱνατί,
558,4.4,συνέπεσεν,συμπίτνω
559,4.4,τὸ,ὁ
560,4.4,πρόσωπόν,πρόσωπον
561,4.4,σου,σύ
562,4.4,οὐκ,οὐ
563,4.4,ἐὰν,ἐάν
564,4.4,ὀρθῶς,
565,4.4,προσενέγκῃς,προσφέρω
566,4.4,ὀρθῶς,
567,4.4,δὲ,δέ
568,4.4,μὴ,μή
569,4.4,διέλῃς,διαιρέω
570,4.4,ἥμαρτες,ἁμαρτάνω
571,4.4,ἡσύχασον,
572,4.4,πρὸς,πρός
573,4.4,σὲ,
574,4.4,ἡ,ὁ
575,4.4,ἀποστροφὴ,ἀποστροφή
576,4.5,αὐτοῦ,
577,4.5,καὶ,καί
578,4.5,σὺ,σύ
579,4.5,ἄρξεις,ἄρχω
580,4.5,αὐτοῦ,
581,4.5,καὶ,καί
582,4.5,εἶπεν,εἶπον
583,4.5,Κάϊν,
584,4.5,πρὸς,πρός
585,4.5,Ἄβελ,
586,4.5,τὸν,ὁ
587,4.6,ἀδελφὸν,ἀδελφός
588,4.6,αὐτοῦ,
589,4.6,Διέλθωμεν,διέρχομαι
590,4.6,εἰς,εἰς
591,4.6,τὸ,ὁ
592,4.6,πεδίον,
593,4.6,καὶ,καί
594,4.6,ἐγένετο,γίγνομαι
595,4.6,ἐν,
596,4.6,τῷ,
597,4.6,εἶναι,εἰμί
598,4.6,αὐτοὺς,αὐτός
599,4.6,ἐν,
600,4.6,τῷ,
601,4.6,πεδίῳ,
602,4.6,ἀνέστη,ἀνίστημι
603,4.6,Κάϊν,
604,4.6,ἐπὶ,ἐπί
605,4.6,Ἄβελ,
606,4.6,τὸν,ὁ
607,4.6,ἀδελφὸν,ἀδελφός
608,4.6,αὐτοῦ,
609,4.6,καὶ,καί
610,4.6,ἀπέκτεινεν,ἀποκτείνω
611,4.6,αὐτόν,αὐτός
612,4.6,ὁρᾶτε,ὁράω
613,4.6,ἀδελφοί,ἀδελφός
614,4.6,ζῆλος,ζῆλος
615,4.6,καὶ,καί
616,4.7,φθόνος,φθόνος
617,4.7,ἀδελφοκτονίαν,ἀδελφοκτονία
618,4.7,κατειργάσατο,κατεργάζομαι
619,4.7,διὰ,διά
620,4.7,ζῆλος,ζῆλος
621,4.7,ὁ,ὁ
622,4.7,πατὴρ,πατήρ
623,4.7,ἡμῶν,
624,4.7,Ἰακὼβ,
625,4.8,ἀπέδρα,ἀποδιδράσκω
626,4.8,ἀπὸ,ἀπό
627,4.8,προσώπου,πρόσωπον
628,4.8,Ἠσαῦ,
